coverage_id,canonical_id,disposition,task_id,task_key,area,note
$CUREVAM,$CUREVAM,planned,8166,quest.corpus.cures,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
$CUREWER,$CUREWER,planned,8166,quest.corpus.cures,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
00B00Y00,00B00Y00,planned,8034,quest.corpus.temples,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
10C00Y00,10C00Y00,planned,8038,quest.corpus.disabled-classic,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
20C00Y00,20C00Y00,planned,8038,quest.corpus.disabled-classic,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
30C00Y00,30C00Y00,planned,8038,quest.corpus.disabled-classic,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
40C00Y00,40C00Y00,planned,8038,quest.corpus.disabled-classic,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
50C00Y00,50C00Y00,planned,8038,quest.corpus.disabled-classic,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
60C00Y00,60C00Y00,planned,8038,quest.corpus.disabled-classic,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
70C00Y00,70C00Y00,planned,8038,quest.corpus.disabled-classic,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
80C00Y00,80C00Y00,planned,8008,quest.import.original-comparison,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
80C0XY00,80C0XY00,planned,8038,quest.corpus.disabled-classic,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
90C00Y00,90C00Y00,planned,8038,quest.corpus.disabled-classic,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
A0C00Y00,A0C00Y00,planned,8036,quest.corpus.witches-commoners,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
A0C00Y04,A0C00Y04,planned,8008,quest.import.original-comparison,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
A0C00Y06,A0C00Y06,planned,8036,quest.corpus.witches-commoners,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
A0C00Y07,A0C00Y07,planned,8036,quest.corpus.witches-commoners,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
A0C00Y08,A0C00Y08,planned,8036,quest.corpus.witches-commoners,11,Task contributes the specified behavior; this mapping is not an implementation-complete claim.
