disposition	kind	source_id	source	reason
Unused	Block	block/AAANEW.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Valid	Block	block/ALCHAL00.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ALCHAL01.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ALCHAL02.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ALCHAL03.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ALCHAM00.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ALCHAM01.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ALCHAM02.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Unused	Block	block/ALCHAS00.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Unused	Block	block/ALCHAS01.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Unused	Block	block/ALCHAS02.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Unused	Block	block/ALCHAS03.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Valid	Block	block/ALCHBL00.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ALCHBL01.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ALCHBM00.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ALCHBM01.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Unused	Block	block/ALCHBS00.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Unused	Block	block/ALCHBS01.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Valid	Block	block/ALCHGL00.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ALCHGL01.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ALCHGM00.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ALCHGM01.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Unused	Block	block/ALCHGS00.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Unused	Block	block/ALCHGS01.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Valid	Block	block/ARMRAL00.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ARMRAL01.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ARMRAL02.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ARMRAM00.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ARMRAM01.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ARMRAM02.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ARMRAM03.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Unused	Block	block/ARMRAS00.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Unused	Block	block/ARMRAS01.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Unused	Block	block/ARMRAS02.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Valid	Block	block/ARMRBL00.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ARMRBL01.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ARMRBM00.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ARMRBM01.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Unused	Block	block/ARMRBS00.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Unused	Block	block/ARMRBS01.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Valid	Block	block/ARMRGL00.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ARMRGL01.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ARMRGM00.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Valid	Block	block/ARMRGM01.RMB	BLOCKS.BSA	Rmb block is reachable from MAPS.BSA.
Unused	Block	block/ARMRGS00.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Unused	Block	block/ARMRGS01.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Unused	Block	block/AVI.RMB	BLOCKS.BSA	The block is supplied but no readable MAPS location references it.
Valid	Block	block/B0000000.RDB	BLOCKS.BSA	Rdb block is reachable from MAPS.BSA.
