id,row_type,family_id,kind,path_or_pattern,available_count,byte_size,record_or_stem,current_scope,disposition,notes
CNT-001,family,CNT-001,maps,local/arena2/MAPS.BSA,248,,region groups 000-061; MAPPITEM;MAPDITEM;MAPTABLE;MAPNAMES,bounded MapsDecoder; Privateer's Hold only,current-structural,BSA named-record header count; location counts pending existing decoder manifest
CNT-002,family,CNT-002,world-grid,local/arena2/CLIMATE.PAK,1001x500 grid,,grid cells; sentinel retained,Privateer's Hold subset,current-partial,PakDecoder shape; semantic cell coverage pending
CNT-003,family,CNT-003,world-grid,local/arena2/POLITIC.PAK,1001x500 grid,,grid cells; sentinel retained,not admitted,pending-import,record count intentionally not inferred from bytes
CNT-004,family,CNT-004,wilderness,local/arena2/WOODS.WLD,uninspected,,source records,not admitted,pending-import,existing wilderness decoder/record manifest required
CNT-005,family,CNT-005,blocks,local/arena2/BLOCKS.BSA,1295,,named records; RDB/RMB names and ordinals,RDB bounded; Privateer's Hold closure,current-structural,named BSA header count; directory type 0x0100
CNT-006,family,CNT-006,meshes,local/arena2/ARCH3D.BSA,10251,,numeric ordinals,Privateer's Hold references,current-partial,numeric BSA header count
CNT-007,family,CNT-007,monster-media,local/arena2/MONSTER.BSA,103,,named archive records,7 dungeon actor media entries,current-partial,named BSA header count
CNT-008,family,CNT-008,actors,donor:Assets/Scripts/Utility/EnemyBasics.cs,63,,donor static MobileEnemy IDs,45 base actor definitions,current-partial,donor static definitions; archive-linked data remains
CNT-009,family,CNT-009,races,donor:Assets/Scripts/Game/Entities/RaceTemplate.cs,8,,Breton;Redguard;Nord;DarkElf;HighElf;WoodElf;Khajiit;Argonian,no complete catalog,pending-import,donor identity count
CNT-010,family,CNT-010,careers,local/arena2/CLASS*.CFG;CLASSES.DAT,19 CFG + 1 DAT,,CLASS00-CLASS18;CLASSES.DAT,not admitted,pending-import,each CLASS CFG is 74 bytes; CLASSES.DAT is 216 bytes
CNT-011,family,CNT-011,item-templates,donor:FALL.EXE via Assets/Scripts/API/ItemsFile.cs,288,,native template indices 000-287,31 base item definitions,source-gap,FALL.EXE absent from supplied local source
CNT-012,family,CNT-012,spells-effects,local/arena2/SPELLS.STD;MAGIC.DEF,2 source files,,SPELLS.STD;MAGIC.DEF,not admitted,pending-import,verified spell filename is SPELLS.STD; no SPELL.RSC
CNT-013,family,CNT-013,factions,local/arena2/FACTION.TXT,uninspected,,source records,not admitted,pending-import,full count pending existing decoder
CNT-014,family,CNT-014,names-bio-rumors,local/arena2/NAMEGEN.DAT;BIO.DAT;RUMOR.DAT;BIOG*,1+1+1+19 files,,BIOG00I0.IMG;BIOG00T0-T17T0,not admitted,pending-import,metadata counts; text payload not copied
CNT-015,family,CNT-015,books,local/arena2/books,90,,BOK00000.TXT;BOK00001.TXT;BOK00002.TXT;BOK00003.TXT;BOK00004.TXT;BOK00005.TXT;BOK00006.TXT;BOK00007.TXT;BOK00008.TXT;BOK00009.TXT;BOK00020.TXT;BOK00021.TXT;BOK00022.TXT;BOK00025.TXT;BOK00026.TXT;BOK00027.TXT;BOK00028.TXT;BOK00029.TXT;BOK00030.TXT;BOK00031.TXT;BOK00032.TXT;BOK00033.TXT;BOK00034.TXT;BOK00035.TXT;BOK00036.TXT;BOK00037.TXT;BOK00038.TXT;BOK00039.TXT;BOK00040.TXT;BOK00041.TXT;BOK00042.TXT;BOK00043.TXT;BOK00044.TXT;BOK00045.TXT;BOK00046.TXT;BOK00047.TXT;BOK00048.TXT;BOK00049.TXT;BOK00050.TXT;BOK00051.TXT;BOK00052.TXT;BOK00053.TXT;BOK00054.TXT;BOK00055.TXT;BOK00056.TXT;BOK00057.TXT;BOK00058.TXT;BOK00059.TXT;BOK00060.TXT;BOK00061.TXT;BOK00062.TXT;BOK00063.TXT;BOK00064.TXT;BOK00065.TXT;BOK00066.TXT;BOK00067.TXT;BOK00068.TXT;BOK00069.TXT;BOK00070.TXT;BOK00071.TXT;BOK00072.TXT;BOK00073.TXT;BOK00074.TXT;BOK00075.TXT;BOK00076.TXT;BOK00077.TXT;BOK00078.TXT;BOK00079.TXT;BOK00080.TXT;BOK00081.TXT;BOK00082.TXT;BOK00083.TXT;BOK00084.TXT;BOK00085.TXT;BOK00086.TXT;BOK00087.TXT;BOK00088.TXT;BOK00089.TXT;BOK00100.TXT;BOK00101.TXT;BOK00102.TXT;BOK00103.TXT;BOK00104.TXT;BOK00105.TXT;BOK00106.TXT;BOK00107.TXT;BOK00108.TXT;BOK00109.TXT;BOK00110.TXT;BOK00111.TXT,not admitted,pending-import,individual source filenames; donor BookFile header/page semantics
CNT-016,family,CNT-016,text,local/arena2/TEXT.RSC,uninspected,,TEXT.RSC,not admitted,pending-import,record count pending existing text reader
