id,feature,donor_ref,description,survey_coverage,disposition,area,owners,canonical,planning_notes
F001,Attribute stats container,"`Game/Entities/DaggerfallStats.cs` — `DaggerfallStats`, live vs permanent values, `AssignMods`",Holds 8 attributes (Str..Luc) with live/permanent split plus modifier assignment.,"Partial — stat IDs in `Rulesets.Daggerfall/Content/DaggerfallDefinitions.cs`; Engine `ExactStatContribution` stacking exists upstream but only level-up HP sources use it (`DaggerfallRewardReactions.cs`) — general live/permanent mod layer absent (Engine-unused, not duplicated)",E,5,"K,D",F001,"Permanent/live attributes; source-based modifiers, clamping and removal; preserve existing Mechanics bases."
F002,Skill container,"`Game/Entities/DaggerfallSkills.cs` — live/permanent values, defaults, career mods",Holds ~35 skills with live/permanent values and career assignment.,"Partial — skills as stat IDs + `SkillAdvancementMultipliers` in `Rulesets.Daggerfall/Policies/DaggerfallFormulaPolicy.cs`; reads evaluate base-only (`Array.Empty<ExactSource>()` in `Kit/Actors/ActorsState.cs`) — upstream modifier hook unused (Engine-unused, not duplicated)",E,5,"K,D",F002,"Skill initialization, career modifiers, usage counters and advancement; use the existing stat owner."
F003,Resistance container,`Game/Entities/DaggerfallResistances.cs`,"Fire/Frost/Disease-Poison/Shock/Magic resistances, live/permanent split.",Absent — no resistance container,M,5,"D,K",F003,"Elemental and disease/poison resistance identities, bases, live modifiers and consumers."
F004,Base entity vitals + effect flags,"`Game/Entities/DaggerfallEntity.cs` — health/fatigue/magicka, level, armor, paralysis/invisibility/immunity flags",Shared entity base for pools and magic-effect state flags.,Partial — vitals/tracks in `Content/DaggerfallDefinitions.cs` + Engine Mechanics tracks; effect-flag layer absent,E,7,"K,D",F004,"Reuse vitality tracks; add condition/effect flags and common reads for movement, perception and casting."
F005,Player character state,"`Game/Entities/PlayerEntity.cs` — `AssignCharacter`, gold/weight, crime, guilds, lycanthropy/vampirism","Full player record: chargen assignment, gold/encumbrance, reputation, crime, guilds, transformations.",Partial — vitals/identity in `Content/DaggerfallBaseContent.cs` + `DaggerfallSavePayload.cs`; crime/guild/lycanthropy absent,E,5,D,F005,"Extend player record with career, reputation/crime, guild and transformation state in the respective owners."
F006,Character-creation document,`Game/Player/CharacterDocument.cs`,Persistent chargen record consumed by `PlayerEntity.AssignCharacter`.,Import-only — creation data in `Daggerfall.Import`/content packs (`content/worldrpg/content-packs/daggerfall.base.pack.json`); no Kit/ruleset chargen flow,A,5,"D,I,P",F006,Creation choices produce a validated character record and initial loadout; no Unity serialized document.
F007,Enemy entity setup,"`Game/Entities/EnemyEntity.cs` — `SetEnemyCareer`, `SetEnemyEquipment`, `SetEnemySpells`","Instantiates a mobile enemy from career data: stats, equipment, spells, loot/quest queues.",Partial — actor definitions/attacks/loot keys in `Content/DaggerfallDefinitions.cs` + packs; career-to-entity builder absent,E,5,"D,K",F007,"Career-driven enemy stats, equipment, spells, dynamic identity and spawn initialization."
F008,Enemy catalog lookup,"`Utility/EnemyBasics.cs` — `GetEnemy`, corpse-texture mapping",Static mobile-enemy lookup by type/name plus corpse textures.,Partial — actor/item catalogs in `Content/DaggerfallDefinitions.cs` + `DaggerfallBaseContent.cs`; corpse-texture mapping absent,E,3,"I,P,D",F008,"Complete enemy definitions, mobility/attack/corpse metadata; extend existing mobile import and catalogs."
F009,Attribute-derived formulas,"`Game/Formulas/FormulaHelper.cs` — `DamageModifier`, `ToHitModifier`, `HitPointsModifier`, `MagicResist`, `MaxEncumbrance`, `SpellPoints`",Pure stat→bonus functions from Str/Agi/End/Int/Wil.,Covered — ported in `Rulesets.Daggerfall/Policies/DaggerfallFormulaPolicy.cs` against `DaggerfallFormulaTuning`,R,5,D,F009,"Retain derived formulas; map each to live-stat consumers, units and bounds before scheduling missing wiring."
F010,Vital/recovery formulas,"`Game/Formulas/FormulaHelper.cs` — `RollMaxHealth`, health/fatigue/spell-point recovery rates",Max-HP rolls and per-rest recovery rates.,"Covered — `HealthRecoveryRate`, `FatigueRecoveryRate`, `SpellPointRecoveryRate`, `HitPointsPerLevelUp` in `Policies/DaggerfallFormulaPolicy.cs`",R,8,D,F010,Retain recovery formulas; implement rest/loiter and ordinary recovery callers separately with elapsed-time semantics.
